artist,title,spo_link
앤씨아,너의 하루는 어때?,https://open.spotify.com/track/4hF6aI782c5ZQjUEB978Os?si=f608d06a9d724c1a
우연수,아프지 말고 아프지 말자,https://open.spotify.com/track/4fc6blO6ZiO92ykmUhTBEu?si=eeb803839769480f
이하이,한숨,https://open.spotify.com/track/6G4z9WbxyEeWdEQTfShACT?si=feb51ed9d4de44dc
Crush,Alone,https://open.spotify.com/track/7c3D7Q2vzepSPJ3fvZnvi5?si=5104c933e13144d2
로시,Stars,https://open.spotify.com/track/5vMmRDWrRsogNA6xm916nq?si=9fc9efd0c8744d0c
아이유,이름에게,https://open.spotify.com/track/1DP0uwV6tMlCEfR61Mh7ki?si=7f4a480bb02640d6
폴킴,마음,https://open.spotify.com/track/2wlonxxuHG8hwoMooJ6TkO?si=f50a4c0516304952
권진아,위로,https://open.spotify.com/track/6uYBDTTolezL3ne2HsXDm0?si=dafe71f07ba94767
이하이,홀로,https://open.spotify.com/track/4BSluGpjdLQihMmKgHXMxp?si=129ce92b6bda4248
윤미래,너의 얘길 들어줄게,https://open.spotify.com/track/6kNvn4NgNwwCEZyRsJqkzX?si=766b7f4f2e9d4c44
볼빨간사춘기,민들레,https://open.spotify.com/track/20ffMyUD9MU8xxlBCjshYJ?si=f4104812cdb74396
아이유,마음을 드려요,https://open.spotify.com/track/6dGsBRuavumBs5BghcXF3D?si=4e3711b58c714784
윤하,기도,https://open.spotify.com/track/2h5qMFJX7Qz02Emb1IV379?si=b8bcc1f6ee3e49f1
Sondia,어른,https://open.spotify.com/track/3JKv5rt1H6o3TomGYdSsai?si=d7b8aa4fb3374cc3
김보경,혼자라고 생각말기,https://open.spotify.com/track/0QWdaheNx7BU1qWBz9aeIM?si=c545f8001fdc491c
아이유,Love poem,https://open.spotify.com/track/7HrE6HtYNBbGqp5GmHbFV0?si=6132a7a518f54c16
볼빨간사춘기,나의 사춘기에게,https://open.spotify.com/track/4gMPlHHAjOQnUrhsuqHivn?si=2a6cde20207b4a6f
윤하,느린 우체통,https://open.spotify.com/track/4wY7OeIBLhoOthniNXa69S?si=c6a902f3b3a141b3
노을,함께,https://open.spotify.com/track/0Z2Fq6CZic1jR1YCbqolkY?si=e5392a2147b74759
Zion.T,꺼내 먹어요,https://open.spotify.com/track/09Nhl3YQnChjlq8WmJz7FS?si=ded632b6d0654fdd
G.Urban,위로해줄게,https://open.spotify.com/track/3ZpkYHKL5zLrsZpfDH7Yov?si=fa273404b8494428
앤씨아,밤바람,https://open.spotify.com/track/2jWSTJRMhdk5BRsA7KxRKW?si=7ffbde93378b446c
비투비,괜찮아요,https://open.spotify.com/track/4TPXKIuXg411bVMZPZdYZl?si=d3a4cdf355514767
디아크,빛,https://open.spotify.com/track/6VgerqiIeiOoJo9jCP1LJN?si=1698d391607a4325
장범준,당신과는 천천히,https://open.spotify.com/track/0a9YcS9sCCTBmN8ZTffX3p?si=d09f4dc8601f4ef5
박효신,야생화,https://open.spotify.com/track/3VTvrr2jER0dZfHn7GB0vu?si=556a9b53dc114703
아이유,무릎,https://open.spotify.com/track/3Sc3OHN2EnhsKwzt7hMFKQ?si=f1c68271c33d4a20
서지원,내 눈물 모아,https://open.spotify.com/track/2KHwO2oP6kWGfir0EWcklE?si=3c818cef1b4d4291
이적,걱정말아요 그대,https://open.spotify.com/track/5Q77F62i7cm9X88azmIYg2?si=888fbbe3bb9f4edc
자이언티,양화대교,https://open.spotify.com/track/7saJl9V0kRYGWuyeURHYNU?si=4c0ecb9d2db340d5
버스커버스커,여수밤바다,https://open.spotify.com/track/6c1mf1kaoeE36Dd2wUdX1P?si=6dacc5bd2afa4d9c
윤종신,지친하루,https://open.spotify.com/track/46dxxReWwc0vVB6r5IVeGV?si=98c389f8636e4a57
성시경,두 사람,https://open.spotify.com/track/3tEPgUhheyOJQhnH2IwQna?si=676ef3a2cc02422d
신치림,퇴근길,https://open.spotify.com/track/3rGbL32IfWmvjD06Jt6N9D?si=379fce1e7140426b
토이,우리,https://open.spotify.com/track/6IhFkyXsUX4pJegLglMvmZ?si=32a66c6dc4194633
유희열,그래 우리 함께,https://open.spotify.com/track/5G5smfKEpDq6SOvfVtf722?si=7a58e9ea4db54049
